5737;T41903N;4X4 EVO v1.001 (2000)(GOD)(US)[!]
E60D;T40509D 50;Aqua GT v1.000 (2000)(Take 2)(PAL)(M3)[!]
E9E3;T15130N;Atari Anniversary Edition v1.001 (2001)(Infogrames)(US)[!][compilation]
22A2;T44102N;BANG! - Gunship Elite v1.003 (2000)(Red Storm)(US)[!]
5966;T-8117N;Bust-A-Move 4 v1.001 (2000)(Acclaim)(US)[!][3S]
65E8;T40602N;Centipede v1.004 (1999)(Hasbro)(US)[!]
7544;T-8120N;Dave Mirra Freestyle BMX v1.001 (2000)(Acclaim)(US)[!][0K055A, B, D, E]
1800;T-8113N;Ducati World - Racing Challenge v1.000 (2001)(Acclaim)(US)[!]
CA6E;T22903D 50;Exhibition of Speed v1.000 (2000)(Titus)(PAL)(M6)[!]
5BE4;T45401D 50;GK - Giant Killers v1.400 (2001)(AAA Game)(PAL)[!]
7CD6;T-40502-N;Hidden & Dangerous v1.100 (2000)(Take 2)(US)[!]
0793;T7001D  50;Jimmy White's 2 - Cueball v1.100 (1999)(Virgin)(PAL)[!]
9807;T44302N;King of Fighters Evolution, The v1.000 (2000)(Agetec)(US)(M4)[!]
0EDC;T15116N;Looney Tunes Space Race v1.000 (2000)(Infogrames)(US)(M3)[!]
32DD;T40208N;Magforce Racing v1.001 (2000)(Crave)(US)(M5)[!]
076A;T11010N;Maximum Pool v1.004 (2000)(Sierra)(US)[!]
D596;T-9714N;Midway's Greatest Arcade Hits Volume 2 v1.001 (2001)(Midway)(US)[!][compilation]
5580;T1404N;Ms. Pac-Man - Maze Madness v1.000 (2000)(Namco)(US)[!]
4EFF;T10004N;MTV Sports - Skateboarding Featuring Andy Macdonald v1.002 (2000)(THQ)(US)[!]
E570;T40214N;Next Tetris, The - On-line Edition v1.100 (2000)(Crave)(US)[!]
CF3D;T-9703N;NFL Blitz 2000 v1.002 (1999)(Midway)(US)[!]
01AD;T-9703N;NFL Blitz 2000 v2.000 (1999)(Midway)(US)[!]
F9D5;T-8115N;NFL QB Club 2001 v1.001 (2000)(Acclaim)(US)[!]
EE95;T-8101N;NFL Quarterback Club 2000 v1.030 (1999)(Acclaim)(US)[!]
715E;T9504M;Nightmare Creatures II v1.000 (2000)(Konami)(US)[!]
5046;T-17713N;POD - Speedzone v1.002 (2000)(Ubi Soft)(US)[!]
4780;T40403N;Q-bert v1.003 (2000)(Majesco)(US)[!]
DFDB;T41902N;Railroad Tycoon II - Gold Edition v1.004 (2000)(GOD)(US)[!]
F9C0;T40219N;Razor Freestyle Scooter v1.000 (2001)(Crave)(US)[!]
5D92;T1205N;Resident Evil 2 v1.001 (2000)(Capcom)(US)(Disc 1 of 2)[!][Leon] ... (Disc 2 of 2)[!][Claire]
CC8A;T22901N;Roadsters v1.007 (2000)(Titus)(US)[!]
A9CF;T40207N;SnoCross - Championship Racing v1.000 (2000)(Crave)(US)[!]
812F;T-8116N;South Park Rally v1.001 (2000)(Acclaim)(US)[!]
044D;T17718N;Speed Devils - Online Racing v1.002 (2000)(Ubi Soft)(US)[!]
D255;T-8118N;Spirit of Speed 1937 v1.001 (2000)(LJN)(US)[!]
DAF7;T40209N;StarLancer v1.002 (2000)(Crave)(US)[!]
A394;T12509N;Super Runabout - San Francisco Edition v1.005 (2000)(Interplay)(US)[!]
9577;TAXI2;Taxi 2 - Le Jeu v1.000 (2000)(Ubi Soft)(PAL)(FR)[!]
97D4;T40401N;Tom Clancy's Rainbow Six v1.004 (2000)(Majesco - Red Storm)(US)[!]
DA5E;T-36806N;Tomb Raider - The Last Revelation v1.001 (2000)(Eidos)(US)[!]
D1D8;T36812N;Tomb Raider Chronicles v1.000 (2000)(Eidos)(US)[!]
7AFB;MK-5109505;UEFA Dream Soccer v1.003 (2000)(Sega)(PAL)(M4)[!]
C114;T40204N;Ultimate Fighting Championship v1.001 (2000)(Crave)(US)[!]
716B;T36810N;Urban Chaos v1.000 (2000)(Eidos)(US)(en-fr)[!]
DF23;T11011N;Who Wants to Beat Up a Millionaire v1.004 (2000)(Simon & Schuster)(US)[!]
5BF0;T42101N 00;Wild Metal v1.003 (2000)(Rockstar - Take 2)(US)(M6)[!]
4DB7;T40601N;Worms Armageddon v1.001 (1999)(MicroProse)(US)[!]
F818;T0000M;METAL SLUG 6
F818;T0001M;KING OF FIGHTERS XI
F818;T0002M;SAMURAI SPIRITS TENKAICHI KENKAKUDEN
F818;T0003M;NEOGEO BATTLE COLISEUM
F818;T0004M;KNIGHTS OF VALOUR THE SEVEN SPIRITS
F818;T0005M;FASTER THAN SPEED
F818;T0006M;DOLPHIN BLUE
F818;T0006M;MAXIMUM SPEED
F818;T0007M;KING OF FIGHTERS NEOWAVE
F818;T0008M;DEMOLISH FIST
F818;T0009M;FIST OF THE NORTH STAR
F818;T0009M;RUMBLE FISH
F818;T0011M;GUILTY GEAR X VER 1.5
F818;T0012M;RUMBLE FISH 2
F818;T0013M;GUILTY GEAR ISUKA
F818;T0014M;SUSHI BAR
F818;T0015M;DIRTY PIGSKIN FOOTBALL
F818;T0016M;RANGER MISSION
F818;T0017M;SPORTS SHOOTING USA
F818;T0018M;SEGA CLAY CHALLENGE
F818;T0019M;KENJU
F818;T0020M;FORCE FIVE
